City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
143,khatanga,RU,71.9667,102.5,16.52,91,26,11.65,scattered clouds,0.0,0.0
144,santander,ES,43.4647,-3.8044,68.72,84,0,10.0,clear sky,0.0,0.0
145,hobyo,SO,5.3505,48.5268,85.19,73,100,18.88,overcast clouds,0.0,0.0
146,kavieng,PG,-2.5744,150.7967,83.5,75,100,17.13,overcast clouds,0.0,0.0
147,czluchow,PL,53.6672,17.3588,62.64,32,27,11.7,scattered clouds,0.0,0.0
148,khorramshahr,IR,30.4397,48.1664,89.55,10,51,17.09,broken clouds,0.0,0.0
149,broken hill,AU,-31.95,141.4333,53.13,67,0,8.97,clear sky,0.0,0.0
150,steinbach,DE,50.1667,8.5667,73.33,40,20,12.66,few clouds,0.0,0.0
151,bathsheba,BB,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds,0.0,0.0
152,xuanzhou,CN,30.9525,118.7553,70.34,77,66,7.16,broken clouds,0.0,0.0
153,cetariu,RO,47.1333,22.0167,72.75,41,0,2.3,clear sky,0.0,0.0
154,huarmey,PE,-10.0681,-78.1522,66.4,88,39,9.55,scattered clouds,0.0,0.0
155,touros,BR,-5.1989,-35.4608,83.28,71,100,13.8,overcast clouds,0.0,0.0
156,teya,RU,60.3778,92.6267,27.0,79,100,9.19,light snow,0.0,0.11
157,olafsvik,IS,64.8945,-23.7142,44.55,92,100,12.86,overcast clouds,0.0,0.0
158,sekoma,BW,-24.4,23.8833,71.1,29,0,11.59,clear sky,0.0,0.0
159,rocha,UY,-34.4833,-54.3333,63.09,69,6,6.69,clear sky,0.0,0.0
160,chuy,UY,-33.6971,-53.4616,62.22,69,3,6.91,clear sky,0.0,0.0
161,palmas,BR,-10.2128,-48.3603,85.87,51,0,2.3,clear sky,0.0,0.0
162,rundu,NA,-17.9333,19.7667,86.0,15,0,5.39,clear sky,0.0,0.0
163,zima,RU,53.9202,102.0442,39.81,58,100,9.84,overcast clouds,0.0,0.0
164,kampen,NL,52.555,5.9111,63.18,46,20,9.6,few clouds,0.0,0.0
165,troitsko-pechorsk,RU,62.7084,56.1964,58.75,55,57,11.65,broken clouds,0.0,0.0
166,la asuncion,VE,11.0333,-63.8628,80.38,76,15,11.83,few clouds,0.0,0.0
167,marfino,RU,55.7028,37.3822,67.91,54,0,8.95,clear sky,0.0,0.0
168,lluta,PE,-16.0147,-72.0142,52.0,62,93,3.38,overcast clouds,0.0,0.0
169,marsh harbour,BS,26.5412,-77.0636,79.09,69,0,14.43,clear sky,0.0,0.0
170,tautira,PF,-17.7333,-149.15,80.02,79,5,4.29,light rain,0.38,0.0
171,deputatskiy,RU,69.3,139.9,11.08,97,100,2.91,overcast clouds,0.0,0.0
172,tura,IN,25.5198,90.2201,77.34,71,85,3.47,overcast clouds,0.0,0.0
173,bekwai,GH,6.4534,-1.5774,92.48,47,100,2.8,overcast clouds,0.0,0.0
174,caravelas,BR,-17.7125,-39.2481,80.33,65,100,11.83,overcast clouds,0.0,0.0
175,mahebourg,MU,-20.4081,57.7,79.25,79,21,9.95,few clouds,0.0,0.0
176,northam,GB,51.0333,-4.2167,59.86,74,91,9.71,overcast clouds,0.0,0.0
177,asilah,MA,35.465,-6.0348,78.76,45,0,10.54,clear sky,0.0,0.0
178,castro,BR,-24.7911,-50.0119,55.74,78,78,8.05,broken clouds,0.0,0.0
179,ponta do sol,PT,32.6667,-17.1,72.72,67,4,2.39,clear sky,0.0,0.0
180,dukat,RU,62.55,155.55,11.91,98,68,4.27,broken clouds,0.0,0.0
181,lazaro cardenas,MX,17.9583,-102.2,76.03,72,16,3.94,few clouds,0.0,0.0
182,sorland,NO,67.667,12.6934,40.86,60,20,13.8,few clouds,0.0,0.0
183,ayan,RU,56.45,138.1667,33.55,93,37,7.65,scattered clouds,0.0,0.0
184,new norfolk,AU,-42.7826,147.0587,44.65,72,44,2.57,scattered clouds,0.0,0.0
185,richards bay,ZA,-28.783,32.0377,71.22,73,98,14.2,overcast clouds,0.0,0.0
186,kavaratti,IN,10.5669,72.642,85.23,71,97,17.31,overcast clouds,0.0,0.0
187,svetlyy,RU,54.675,20.1347,53.65,68,44,10.22,scattered clouds,0.0,0.0
188,kaniama,CD,-7.5667,24.1833,87.12,39,94,4.56,overcast clouds,0.0,0.0
189,koster,ZA,-25.863,26.8976,66.16,34,78,13.76,broken clouds,0.0,0.0
