City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,belmonte,BR,74.07,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
482,peterhead,GB,56.66,overcast clouds,57.5058,-1.7981,Palace Hotel
483,kuznechnoye,RU,46.99,overcast clouds,61.12,29.8686,Konferents Hotel
484,vardo,NO,33.78,broken clouds,70.3705,31.1107,Vardø Hotel AS
485,porto belo,BR,71.69,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
486,tres rios,BR,76.19,broken clouds,-22.1167,-43.2092,Hotel Olivier
487,pamfila,GR,71.31,few clouds,39.1567,26.5217,GOLDEN SUN ROOMS
488,ilo,PE,65.71,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
491,havre,FR,63.0,broken clouds,49.5833,0.3333,gite bois jourdain
492,north platte,US,57.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
494,torrington,US,50.65,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
497,bodden town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
498,kangaatsiaq,GL,23.97,clear sky,68.3065,-53.4641,Nukissiorfiit
499,anadyr,RU,33.49,overcast clouds,64.75,177.4833,Отке17.ру — жильё для командированных
500,bolgar,RU,54.45,clear sky,54.95,49.0667,Dakar
501,cervo,ES,63.43,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
503,stanger,ZA,69.12,overcast clouds,-29.3282,31.2895,Ithala Bank (Stanger)
504,fairview,US,51.46,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
505,portland,US,43.39,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
507,cedar city,US,47.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
509,vestmanna,FO,47.32,light rain,62.1564,-7.1664,Vestmanna Camping
510,zhigansk,RU,33.69,light snow,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
512,sicuani,PE,44.46,overcast clouds,-14.2694,-71.2261,Wilkamayu Hotel
